Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra optica,Wireless,Otros,Total,ADSL meta,Cablemodem meta,Fibra optica meta,Wireless meta,Otros meta,Total meta,Tecnologia Predominante
2021,3,Corrientes,44805,69403,7542,6766,5303,133819,47580,68607,3805,6688,5409,132091,Cablemodem
2021,4,Corrientes,42523,71183,10138,6778,5290,135912,45701,70791,7692,6901,5409,136495,Cablemodem
2022,1,Corrientes,40462,79093,10875,6774,5374,142578,43373,72606,10340,6913,5395,138630,Cablemodem
2022,2,Corrientes,38468,75769,18181,7256,5323,144997,41271,80674,11092,6909,5481,145429,Cablemodem
2022,3,Corrientes,36508,77140,18619,7256,5323,144846,39237,77284,18544,7401,5429,147896,Cablemodem
2022,4,Corrientes,34038,80283,26752,9082,5298,155453,37238,78682,18991,7401,5429,147742,Cablemodem
2023,1,Corrientes,29577,81116,30016,11071,5240,157020,34718,81888,27287,9263,5403,158562,Cablemodem
2023,2,Corrientes,26821,82977,32834,10407,5255,158294,30168,82738,30616,11292,5344,160160,Cablemodem
2023,3,Corrientes,24253,83897,36032,10407,5240,159829,27357,84636,33490,10615,5360,161459,Cablemodem
2023,4,Corrientes,21769,86102,35968,10402,5231,159472,24738,85574,36752,10615,5344,163025,Cablemodem
2024,1,Corrientes,18390,85595,38268,10409,5232,157894,22204,87824,36687,10610,5335,162661,Cablemodem
2024,2,Corrientes,14849,86226,39792,10295,5313,156475,18757,87306,39033,10617,5336,161051,Cablemodem
2014,1,Córdoba,336841,225769,347,3585,368,566910,0,0,0,0,0,0,ADSL
2014,2,Córdoba,337825,234729,351,3673,374,576952,343577,230284,353,3656,375,578248,ADSL
2014,3,Córdoba,340212,240334,444,4064,377,585431,344581,239423,358,3746,381,588491,ADSL
2014,4,Córdoba,345157,240452,419,3918,486,590432,347016,245140,452,4145,384,597139,ADSL
2015,1,Córdoba,343883,247564,415,4645,450,596957,352060,245261,427,3996,495,602240,ADSL
2015,2,Córdoba,348130,255596,435,5199,386,609746,350760,252515,423,4737,459,608896,ADSL
2015,3,Córdoba,351692,264055,1450,5412,389,622998,355092,260707,443,5302,393,621940,ADSL
2015,4,Córdoba,353530,266062,480,5613,385,626070,358725,269336,1479,5520,396,635457,ADSL
2016,1,Córdoba,350884,252346,674,5636,386,609926,360600,271383,489,5725,392,638591,ADSL
2016,2,Córdoba,348891,277615,1709,5610,1089,634914,357901,257392,687,5748,393,622124,ADSL
2016,3,Córdoba,348481,285480,2540,5695,395,642591,355868,283167,1743,5722,1110,647612,ADSL
2016,4,Córdoba,337368,289344,3368,5686,789,636555,355450,291189,2590,5808,402,655442,ADSL
2017,1,Córdoba,335673,293479,4871,5782,1394,641199,344115,295130,3435,5799,804,649286,ADSL
2017,2,Córdoba,341748,303488,4451,6446,1505,657638,342386,299348,4968,5897,1421,654022,ADSL
2017,3,Córdoba,344580,319360,10579,7137,14988,696644,348582,309557,4540,6574,1535,670790,ADSL
2017,4,Córdoba,349710,324709,12778,12043,10739,709979,351471,325747,10790,7279,15287,710576,ADSL
2018,1,Córdoba,349342,326894,13178,13237,11275,713926,356704,331203,13033,12283,10953,724178,ADSL
2018,2,Córdoba,345141,327636,13832,16355,10109,713073,356328,333431,13441,13501,11500,728204,ADSL
2018,3,Córdoba,337620,342401,15785,19213,10839,725858,352043,334188,14108,16682,10311,727334,Cablemodem
2018,4,Córdoba,328854,355716,17675,21851,13243,737339,344372,349249,16100,19597,11055,740375,Cablemodem
2019,1,Córdoba,323272,363959,19902,24615,12367,744115,335431,362830,18028,22288,13507,752085,Cablemodem
2019,2,Córdoba,314768,388254,23023,33847,15236,775128,329737,371238,20300,25107,12614,758997,Cablemodem
2019,3,Córdoba,307780,399231,30064,37277,8701,783053,321063,396019,23483,34523,15540,790630,Cablemodem
2019,4,Córdoba,296872,410038,53335,37750,8693,806688,313935,407215,30665,38022,8875,798714,Cablemodem
2020,1,Córdoba,286168,406109,68512,41617,8693,811099,302809,418238,54401,38505,8866,822821,Cablemodem
2020,2,Córdoba,282858,415007,85818,44522,8263,836468,291891,414231,69882,42449,8866,827320,Cablemodem
2020,3,Córdoba,276360,430771,102217,48368,9756,867472,288515,423307,87534,45412,8428,853197,Cablemodem
2020,4,Córdoba,267396,439322,125620,52827,17536,902701,281887,439386,104261,49335,9951,884821,Cablemodem
2021,1,Córdoba,260350,444695,134634,54137,17065,910881,272743,448108,128132,53883,17886,920755,Cablemodem
2021,2,Córdoba,239780,467782,151855,55944,15519,930880,265557,453588,137326,55219,17406,929098,Cablemodem
2021,3,Córdoba,229275,477223,167495,57617,15178,946788,244575,477137,154892,57062,15829,949497,Cablemodem
2021,4,Córdoba,212011,487489,217214,61277,8779,986770,233860,486767,170844,58769,15481,965723,Cablemodem
2022,1,Córdoba,195610,501799,235838,60843,9713,1003803,216251,497238,221558,62502,8954,1006505,Cablemodem
2022,2,Córdoba,179181,467595,308895,61107,9657,1026435,199522,511834,240554,62059,9907,1023879,Cablemodem
2022,3,Córdoba,163770,465461,338570,61070,9797,1038668,182764,476946,315072,62329,9850,1046963,Cablemodem
2022,4,Córdoba,152265,456947,367393,61631,11424,1049660,167045,474770,345341,62291,9992,1059441,Cablemodem
2023,1,Córdoba,136976,455139,386297,61066,10494,1049972,155310,466085,374740,62863,11652,1070653,Cablemodem
2023,2,Córdoba,129303,453924,411703,62391,10430,1067751,139715,464241,394022,62287,10703,1070971,Cablemodem
2023,3,Córdoba,125050,453994,417338,62514,10438,1069334,131889,463002,419937,63638,10638,1089106,Cablemodem
2023,4,Córdoba,115662,452380,440536,61862,8862,1079302,127551,463073,425684,63764,10646,1090720,Cablemodem
2024,1,Córdoba,102812,449784,458985,61121,9497,1082199,117975,461427,449346,63099,9039,1100888,Fibra optica
2024,2,Córdoba,93483,443091,477504,62162,9534,1085774,104868,458779,468164,62343,9686,1103842,Fibra optica
2014,1,Entre Ríos,107883,21379,49,4887,133,134331,0,0,0,0,0,0,ADSL
2014,2,Entre Ríos,108900,21706,49,4795,133,135583,110040,21806,49,4984,135,137017,ADSL
2014,3,Entre Ríos,108907,22440,48,5203,135,136733,111078,22140,49,4890,135,138294,ADSL
2014,4,Entre Ríos,112291,23027,57,5178,260,140813,111085,22888,48,5307,137,139467,ADSL
2015,1,Entre Ríos,112363,47411,108,5943,245,166070,114536,23487,58,5281,265,143629,ADSL
2015,2,Entre Ríos,113378,49767,119,6031,197,169492,114610,48359,110,6061,249,169391,ADSL
2015,3,Entre Ríos,113909,51945,122,6261,197,172434,115645,50762,121,6151,200,172881,ADSL
2015,4,Entre Ríos,113983,53411,122,6427,194,174137,116187,52983,124,6386,200,175882,ADSL
2016,1,Entre Ríos,113101,54948,146,6425,193,174813,116262,54479,124,6555,197,177619,ADSL
2016,2,Entre Ríos,112809,58768,169,6434,193,178373,115363,56046,148,6553,196,178309,ADSL
2016,3,Entre Ríos,112588,61850,206,6441,64,181149,115065,59943,172,6562,196,181940,ADSL
2016,4,Entre Ríos,109359,64141,226,6448,71,180245,114839,63087,210,6569,65,184771,ADSL
2017,1,Entre Ríos,108509,65095,230,6448,71,180353,111546,65423,230,6576,72,183849,ADSL
2017,2,Entre Ríos,108309,67650,254,6448,71,182732,110679,66396,234,6576,72,183960,ADSL
2017,3,Entre Ríos,107774,69596,1786,6245,63,185464,110475,69003,259,6576,72,186386,ADSL
2017,4,Entre Ríos,107764,73692,1894,10267,86,193703,109929,70987,1821,6369,64,189173,ADSL
2018,1,Entre Ríos,106998,75751,3789,10776,80,197394,109919,75165,1931,10472,87,197577,ADSL
2018,2,Entre Ríos,104811,80376,2405,12313,80,199985,109137,77266,3864,10991,81,201341,ADSL
2018,3,Entre Ríos,103318,83714,2403,15093,80,204608,106907,81983,2453,12559,81,203984,ADSL
2018,4,Entre Ríos,101168,86198,4853,15472,14356,222047,105384,85388,2451,15394,81,208700,ADSL
2019,1,Entre Ríos,100999,90253,12723,16231,12241,232447,103191,87921,4950,15781,14643,226487,ADSL
2019,2,Entre Ríos,97081,91081,12764,17369,17529,235824,103018,92058,12977,16555,12485,237095,ADSL
2019,3,Entre Ríos,94947,96305,12888,18530,15432,238102,99022,92902,13019,17716,17879,240540,Cablemodem
2019,4,Entre Ríos,92981,99206,12875,18561,15407,239030,96845,98231,13145,18900,15740,242864,Cablemodem
2020,1,Entre Ríos,90368,95434,13245,18737,14062,231846,94840,101190,13132,18932,15715,243810,Cablemodem
2020,2,Entre Ríos,89391,99423,13954,20042,11303,234113,92175,97342,13509,19111,14343,236482,Cablemodem
2020,3,Entre Ríos,87892,106950,13954,20379,12320,241495,91178,101411,14233,20442,11529,238795,Cablemodem
2020,4,Entre Ríos,85683,113670,15653,20206,12169,247381,89649,109089,14233,20786,12566,246324,Cablemodem
2021,1,Entre Ríos,83688,118424,16846,20836,12169,251963,87396,115943,15966,20610,12412,252328,Cablemodem
2021,2,Entre Ríos,77836,124957,17856,23786,13197,257632,85361,120792,17182,21252,12412,257002,Cablemodem
2021,3,Entre Ríos,74443,128752,20485,23500,13195,260375,79392,127456,18213,24261,13460,262784,Cablemodem
2021,4,Entre Ríos,70459,133387,23452,25022,12726,265046,75931,131327,20894,23970,13458,265582,Cablemodem
2022,1,Entre Ríos,67159,138986,23091,26098,12592,267926,71868,136054,23921,25522,12980,270346,Cablemodem
2022,2,Entre Ríos,63794,131029,35839,26098,12592,269352,68502,141765,23552,26619,12843,273284,Cablemodem
2022,3,Entre Ríos,60345,132952,36971,26098,12593,268959,65069,133649,36555,26619,12843,274739,Cablemodem
2022,4,Entre Ríos,55507,135746,40798,26414,12509,270974,61551,135611,37710,26619,12844,274338,Cablemodem
2023,1,Entre Ríos,51084,141699,44508,26415,11172,274878,56617,138460,41613,26942,12759,276393,Cablemodem
2023,2,Entre Ríos,46503,142562,49251,24461,11170,273947,52105,144532,45398,26943,11395,280375,Cablemodem
2023,3,Entre Ríos,45384,157464,54794,24481,11170,293293,47433,145413,50236,24950,11393,279425,Cablemodem
2023,4,Entre Ríos,41794,159575,61667,24036,11565,298637,46291,160613,55889,24970,11393,299158,Cablemodem
2024,1,Entre Ríos,36574,158283,66180,23950,11565,296552,42629,162766,62900,24516,11796,304609,Cablemodem
2024,2,Entre Ríos,31335,158918,68540,23954,11564,294311,37305,161448,67503,24429,11796,302483,Cablemodem
2014,1,Formosa,20774,4548,0,0,100,25422,0,0,0,0,0,0,ADSL
2014,2,Formosa,20894,4628,0,0,78,25600,21189,4638,0,0,102,25930,ADSL
2014,3,Formosa,21021,4836,0,0,80,25937,21311,4720,0,0,79,26112,ADSL
2014,4,Formosa,21245,4896,1,0,65,26207,21441,4932,0,0,81,26455,ADSL
2015,1,Formosa,21022,4951,1,670,56,26700,21669,4993,1,0,66,26731,ADSL
2015,2,Formosa,21097,5164,2,737,50,27050,21442,5050,1,683,57,27234,ADSL
2015,3,Formosa,21573,5264,2,899,14,27752,21518,5267,2,751,51,27591,ADSL
2015,4,Formosa,21734,5314,4,1023,14,28089,22004,5369,2,916,14,28307,ADSL
2016,1,Formosa,21852,5420,5,1023,14,28314,22168,5420,4,1043,14,28650,ADSL
2016,2,Formosa,22101,5658,6,1023,14,28802,22289,5528,5,1043,14,28880,ADSL
2016,3,Formosa,21800,5905,9,0,2,27716,22543,5771,6,1043,14,29378,ADSL
2016,4,Formosa,22400,6061,16,1023,13,29513,22236,6023,9,0,2,28270,ADSL
2017,1,Formosa,22438,6215,16,1023,13,29705,22848,6182,16,1043,13,30103,ADSL
2017,2,Formosa,22493,6410,17,1023,13,29956,22886,6339,16,1043,13,30299,ADSL
2017,3,Formosa,22647,6816,428,2202,12,32105,22942,6538,17,1043,13,30555,ADSL
2017,4,Formosa,23410,6973,19,1603,51,32056,23099,6952,436,2246,12,32747,ADSL
2018,1,Formosa,23556,7095,17,1603,57,32328,23878,7112,19,1635,52,32697,ADSL
2018,2,Formosa,23543,7311,18,13625,57,44554,24027,7236,17,1635,58,32974,ADSL
2018,3,Formosa,22777,7589,817,13625,57,44865,24013,7457,18,13897,58,45445,ADSL
2018,4,Formosa,22619,7880,887,13761,57,45204,23232,7740,833,13897,58,45762,ADSL
2019,1,Formosa,22570,7878,940,13761,62,45211,23071,8037,904,14036,58,46108,ADSL
2019,2,Formosa,21916,8686,1382,14292,162,46438,23021,8035,958,14036,63,46115,ADSL
2019,3,Formosa,21777,8359,1476,14292,162,46066,22354,8859,1409,14577,165,47366,ADSL
2019,4,Formosa,21567,8684,1760,14531,169,46711,22212,8526,1505,14577,165,46987,ADSL
2020,1,Formosa,21068,8887,1800,14510,169,46434,21998,8857,1795,14821,172,47645,ADSL
2020,2,Formosa,21805,9353,1882,14723,169,47932,21489,9064,1836,14800,172,47362,ADSL
2020,3,Formosa,21790,10003,2000,15023,393,49209,22241,9540,1919,15017,172,48890,ADSL
2020,4,Formosa,21264,10789,2432,15341,380,50206,22225,10203,2040,15323,400,50193,ADSL
2021,1,Formosa,20663,11412,2562,15669,380,50686,21689,11004,2480,15647,387,51210,ADSL
2021,2,Formosa,19571,12509,3610,15690,171,51551,21076,11640,2613,15982,387,51699,ADSL
2021,3,Formosa,18093,14111,4730,15690,171,52795,19962,12759,3682,16003,174,52582,ADSL
2021,4,Formosa,17211,15111,5151,16018,172,53663,18454,14393,4824,16003,174,53850,ADSL
2022,1,Formosa,16397,15927,5146,16876,202,54548,17555,15413,5254,16338,175,54736,Wireless
2022,2,Formosa,15397,25487,9875,16910,212,67881,16724,16245,5248,17213,206,55638,Cablemodem
2022,3,Formosa,14470,25880,11041,16935,212,68538,15704,25996,10072,17248,216,69238,Cablemodem
2022,4,Formosa,13735,17068,13118,17692,227,61840,14759,26397,11261,17273,216,69908,Wireless
2023,1,Formosa,12502,17421,13345,17490,227,60985,14009,17409,13380,18045,231,63076,Wireless
2023,2,Formosa,11934,17678,13698,16813,227,60350,12752,17769,13611,17839,231,62204,Cablemodem
2023,3,Formosa,11230,18053,14904,16899,228,61314,12172,18031,13971,17149,231,61557,Cablemodem
2023,4,Formosa,10252,18325,16179,17061,185,62002,11454,18414,15202,17236,232,62540,Cablemodem
2024,1,Formosa,9147,18631,17908,16851,181,62718,10457,18691,16502,17402,188,63242,Cablemodem
2024,2,Formosa,8488,18768,18977,16430,287,62950,9329,19003,18266,17188,184,63972,Fibra optica
2014,1,Jujuy,29765,4030,23,0,9,33827,0,0,0,0,0,0,ADSL
2014,2,Jujuy,30128,4161,23,40,9,34361,30360,4110,23,0,9,34503,ADSL
2014,3,Jujuy,30128,3541,22,37,13,33741,30730,4244,23,40,9,35048,ADSL
2014,4,Jujuy,31349,4583,22,37,11,36002,30730,3611,22,37,13,34415,ADSL
2015,1,Jujuy,31505,5048,22,0,36,36611,31975,4674,22,37,11,36722,ADSL
2015,2,Jujuy,32183,5482,22,0,35,37722,32135,5148,22,0,36,37343,ADSL
2015,3,Jujuy,32598,6895,22,0,35,39550,32826,5591,22,0,35,38476,ADSL
2015,4,Jujuy,32934,6933,22,0,35,39924,33249,7032,22,0,35,40341,ADSL
2016,1,Jujuy,33481,6751,22,0,35,40289,33592,7071,22,0,35,40722,ADSL
2016,2,Jujuy,33758,7374,22,0,35,41189,34150,6886,22,0,35,41094,ADSL
2016,3,Jujuy,34250,8236,22,0,30,42538,34433,7521,22,0,35,42012,ADSL
2016,4,Jujuy,33838,8731,22,0,34,42625,34935,8400,22,0,30,43388,ADSL
2017,1,Jujuy,33869,9278,22,0,34,43203,34514,8905,22,0,34,43477,ADSL
2017,2,Jujuy,33742,8858,22,0,35,42657,34546,9463,22,0,34,44067,ADSL
2017,3,Jujuy,33796,9395,20,23,8,43242,34416,9035,22,0,35,43510,ADSL
2017,4,Jujuy,33844,9626,20,28,34,43552,34471,9582,20,23,8,44106,ADSL
2018,1,Jujuy,33856,10456,23,28,43,44406,34520,9818,20,28,34,44423,ADSL
2018,2,Jujuy,33571,10856,23,640,43,45133,34533,10665,23,28,43,45294,ADSL
2018,3,Jujuy,33363,10856,32,641,43,44935,34242,11073,23,652,43,46035,ADSL
2018,4,Jujuy,33248,12484,153,640,43608,90133,34030,11073,32,653,43,45833,Otros
2019,1,Jujuy,33248,12484,153,640,43622,90147,33912,12733,156,652,44480,91935,Otros
2019,2,Jujuy,33022,30742,274,812,21857,86707,33912,12733,156,652,44494,91949,ADSL
2019,3,Jujuy,33110,35742,274,812,16638,86576,33682,31356,279,828,22294,88441,Cablemodem
2019,4,Jujuy,32949,37604,873,814,16641,88881,33772,36456,279,828,16970,88307,Cablemodem
2020,1,Jujuy,32066,38938,3078,942,16641,91665,33607,38356,890,830,16973,90658,Cablemodem
2020,2,Jujuy,32705,38938,5057,952,16664,94316,32707,39716,3139,960,16973,93498,Cablemodem
2020,3,Jujuy,32611,57682,11112,952,4371,106728,33359,39716,5158,971,16997,96202,Cablemodem
2020,4,Jujuy,32850,52815,15639,1077,3470,105851,33263,58835,11334,971,4458,108862,Cablemodem
2021,1,Jujuy,32254,54324,17322,2677,3879,110456,33507,53871,15951,1098,3539,107968,Cablemodem
2021,2,Jujuy,24738,60800,19611,2731,3968,111848,32899,55410,17668,2730,3956,112665,Cablemodem
2021,3,Jujuy,23554,60758,19926,2952,3968,111158,25232,62016,20003,2785,4047,114084,Cablemodem
2021,4,Jujuy,22330,60511,24156,2927,3991,113915,24025,61973,20324,3011,4047,113381,Cablemodem
2022,1,Jujuy,21307,60616,25949,4662,3975,116509,22776,61721,24639,2985,4070,116193,Cablemodem
2022,2,Jujuy,20303,54495,34184,3955,2377,115314,21733,61828,26467,4755,4054,118839,Cablemodem
2022,3,Jujuy,19257,52978,40172,4033,2383,118823,20709,55584,34867,4034,2424,117620,Cablemodem
2022,4,Jujuy,17880,52390,42626,4067,1255,118218,19642,54037,40975,4113,2430,121199,Cablemodem
2023,1,Jujuy,15306,51082,46271,4067,1255,117981,18237,53437,43478,4148,1280,120582,Cablemodem
2023,2,Jujuy,13749,51082,47289,4067,1255,117442,15612,52103,47196,4148,1280,120340,Cablemodem
2023,3,Jujuy,12627,51082,48350,4067,1251,117377,14023,52103,48234,4148,1280,119790,Cablemodem
2023,4,Jujuy,11669,51083,49947,4105,1216,118020,12879,52103,49317,4148,1276,119724,Cablemodem
2024,1,Jujuy,10554,51093,51084,4106,1216,118053,11902,52104,50945,4187,1240,120380,Cablemodem
2024,2,Jujuy,9509,51361,53492,4106,1216,119684,10765,52114,52105,4188,1240,120414,Fibra optica
2014,1,La Pampa,15826,31305,513,5848,701,54193,0,0,0,0,0,0,Cablemodem
2014,2,La Pampa,15957,32600,513,5869,689,55628,16142,31931,523,5964,715,55276,Cablemodem
2014,3,La Pampa,16051,33940,538,11219,677,62425,16276,33252,523,5986,702,56740,Cablemodem
2014,4,La Pampa,16043,34281,514,5894,648,57380,16372,34618,548,11443,690,63673,Cablemodem
2015,1,La Pampa,13143,39571,3215,6164,604,62697,16363,34966,524,6011,660,58527,Cablemodem
2015,2,La Pampa,12756,40825,3719,6190,562,64052,13405,40362,3279,6287,616,63950,Cablemodem
2015,3,La Pampa,12755,41886,4078,6195,557,65471,13011,41641,3793,6313,573,65333,Cablemodem
2015,4,La Pampa,12755,42705,4327,6205,374,66366,13010,42723,4159,6318,568,66780,Cablemodem
2016,1,La Pampa,12754,41881,4536,6209,549,65929,13010,43559,4413,6329,381,67693,Cablemodem
2016,2,La Pampa,12754,44654,4708,6225,547,68888,13009,42718,4626,6333,559,67247,Cablemodem
2016,3,La Pampa,12751,45952,4910,6236,515,70364,13009,45547,4802,6349,557,70265,Cablemodem
2016,4,La Pampa,12754,47245,5054,6253,522,71828,13006,46871,5008,6360,525,71771,Cablemodem
2017,1,La Pampa,12754,47195,5194,6253,517,71913,13009,48189,5155,6378,532,73264,Cablemodem
2017,2,La Pampa,12754,48310,5194,6253,511,73022,13009,48138,5297,6378,527,73351,Cablemodem
2017,3,La Pampa,11378,49679,5153,11536,1944,79690,13009,49276,5297,6378,521,74482,Cablemodem
2017,4,La Pampa,10808,50495,8272,10569,1927,82071,11605,50672,5256,11766,1982,81283,Cablemodem
2018,1,La Pampa,10807,51389,8386,10556,1926,83064,11024,51504,8437,10780,1965,83712,Cablemodem
2018,2,La Pampa,12416,53587,8420,7011,987,82421,11023,52416,8553,10767,1964,84725,Cablemodem
2018,3,La Pampa,12415,54574,8437,7011,987,83424,12664,54658,8588,7151,1006,84069,Cablemodem
2018,4,La Pampa,18832,55337,2685,7772,1010,85636,12663,55665,8605,7151,1006,85092,Cablemodem
2019,1,La Pampa,18832,57373,2891,9023,1041,89160,19208,56443,2738,7927,1030,87348,Cablemodem
2019,2,La Pampa,19471,52101,4840,10789,3004,90205,19208,58520,2948,9203,1061,90943,Cablemodem
2019,3,La Pampa,19469,52941,4994,11462,1962,90828,19860,53143,4936,11004,3064,92009,Cablemodem
2019,4,La Pampa,15457,56854,4942,11341,1805,90399,19858,53999,5093,11691,2001,92644,Cablemodem
2020,1,La Pampa,8553,53755,13821,11295,1802,89226,15766,57991,5040,11567,1841,92206,Cablemodem
2020,2,La Pampa,8551,54422,14232,11314,1290,89809,8724,54830,14097,11520,1838,91010,Cablemodem
2020,3,La Pampa,9015,56845,14677,11893,1305,93735,8722,55510,14516,11540,1315,91605,Cablemodem
2020,4,La Pampa,9009,58945,15432,12194,1315,96895,9195,57981,14970,12130,1331,95609,Cablemodem
2021,1,La Pampa,8946,58711,15779,12369,1300,97105,9189,60123,15740,12437,1341,98832,Cablemodem
2021,2,La Pampa,9017,57014,17132,13209,1295,97667,9124,59885,16094,12616,1326,99047,Cablemodem
2021,3,La Pampa,9015,57881,17817,14479,1295,100487,9197,58154,17474,13473,1320,99620,Cablemodem
2021,4,La Pampa,8175,58000,20192,19286,1354,107007,9195,59038,18173,14768,1320,102496,Cablemodem
2022,1,La Pampa,8003,58978,21739,19903,1109,109732,8338,59160,20595,19671,1381,109147,Cablemodem
2022,2,La Pampa,7796,59273,22994,20200,1264,111527,8163,60157,22173,20301,1131,111926,Cablemodem
2022,3,La Pampa,7796,60078,23551,20216,4451,116092,7951,60458,23453,20604,1289,113757,Cablemodem
2022,4,La Pampa,7785,60566,24552,19995,1266,114164,7951,61279,24022,20620,4540,118413,Cablemodem
2023,1,La Pampa,7049,59944,28126,20103,1282,116504,7940,61777,25043,20394,1291,116447,Cablemodem
2023,2,La Pampa,7254,59101,31449,19993,1113,118910,7189,61142,28688,20505,1307,118834,Cablemodem
2023,3,La Pampa,6844,59063,32891,20014,1109,119921,7399,60283,32077,20392,1135,121288,Cablemodem
2023,4,La Pampa,6844,59063,34331,19982,1106,121326,6980,60244,33548,20414,1131,122319,Cablemodem
2024,1,La Pampa,6844,59008,35556,19681,1106,122195,6980,60244,35017,20381,1128,123752,Cablemodem
2024,2,La Pampa,6778,58647,37226,19510,1102,123263,6980,60188,36267,20074,1128,124638,Cablemodem
2014,1,La Rioja,15663,0,14,0,34,15711,0,0,0,0,0,0,ADSL
2014,2,La Rioja,15864,0,14,0,34,15912,15976,0,14,0,34,16025,ADSL
2014,3,La Rioja,15864,0,14,1,37,15916,16181,0,14,0,34,16230,ADSL
2014,4,La Rioja,16352,0,17,0,33,16402,16181,0,14,1,37,16234,ADSL
2015,1,La Rioja,16282,0,16,2,33,16333,16679,0,17,0,33,16730,ADSL
2015,2,La Rioja,16463,0,16,2,28,16509,16607,0,16,2,33,16659,ADSL
2015,3,La Rioja,16725,0,16,2,28,16771,16792,0,16,2,28,16839,ADSL
2015,4,La Rioja,16886,0,16,2,28,16932,17059,0,16,2,28,17106,ADSL
2016,1,La Rioja,16645,0,16,2,28,16691,17223,0,16,2,28,17270,ADSL
2016,2,La Rioja,16691,0,15,2,28,16736,16977,0,16,2,28,17024,ADSL
2016,3,La Rioja,16891,0,15,2,22,16930,17024,0,15,2,28,17070,ADSL
2016,4,La Rioja,16270,0,16,2,28,16316,17228,0,15,2,22,17268,ADSL
2017,1,La Rioja,16180,0,15,2,28,16225,16595,0,16,2,28,16642,ADSL
2017,2,La Rioja,16244,0,15,2,28,16289,16503,0,15,2,28,16549,ADSL
2017,3,La Rioja,16638,34984,14,252,25,51913,16568,0,15,2,28,16614,Cablemodem
2017,4,La Rioja,16912,34984,14,253,31,52194,16970,35683,14,257,25,52951,Cablemodem
2018,1,La Rioja,16960,34984,13,253,35,52245,17250,35683,14,258,31,53237,Cablemodem
2018,2,La Rioja,16663,34984,13,253,35,51948,17299,35683,13,258,35,53289,Cablemodem
2018,3,La Rioja,16587,34984,13,253,35,51872,16996,35683,13,258,35,52986,Cablemodem
2018,4,La Rioja,16367,34984,12,252,36,51651,16918,35683,13,258,35,52909,Cablemodem
2019,1,La Rioja,16367,34984,12,252,41,51656,16694,35683,12,257,36,52684,Cablemodem
2019,2,La Rioja,15014,34984,11,251,41,50301,16694,35683,12,257,41,52689,Cablemodem
2019,3,La Rioja,14390,34984,11,251,41,49677,15314,35683,11,256,41,51307,Cablemodem
2019,4,La Rioja,13738,34984,0,251,29,49002,14677,35683,11,256,41,50670,Cablemodem
2020,1,La Rioja,13076,34984,0,251,29,48340,14012,35683,0,256,29,49982,Cablemodem
2020,2,La Rioja,16885,34984,1,250,35,52155,13337,35683,0,256,29,49306,Cablemodem
2020,3,La Rioja,17346,34984,1,250,35,52616,17222,35683,1,255,35,53198,Cablemodem
2020,4,La Rioja,17513,34984,1,250,30,52778,17692,35683,1,255,35,53668,Cablemodem
2021,1,La Rioja,17363,34984,1,250,30,52628,17863,35683,1,255,30,53833,Cablemodem
2021,2,La Rioja,11627,54255,9445,6245,30,81602,17710,35683,1,255,30,53680,Cablemodem
2021,3,La Rioja,11329,54744,9444,6613,30,82160,11859,55340,9633,6369,30,83234,Cablemodem
2021,4,La Rioja,10387,56651,9446,6613,31,83128,11555,55838,9632,6745,30,83803,Cablemodem
2022,1,La Rioja,9103,59228,9546,6395,31,84303,10594,57784,9634,6745,31,84790,Cablemodem
2022,2,La Rioja,7759,52656,19189,6395,31,86030,9285,60412,9736,6522,31,85989,Cablemodem
2022,3,La Rioja,6842,53899,19697,6395,31,86864,7914,53709,19572,6522,31,87750,Cablemodem
2022,4,La Rioja,6120,54387,19328,6395,32,86262,6978,54976,20090,6522,31,88601,Cablemodem
